Source;Target;Weight;Type
n3;n3;1.0;Directed
n20;n20;1.0;Directed
n0;n0;1.0;Directed
n0;n31;2.0;Directed
n0;n11;1.0;Directed
n0;n29;3.0;Directed
n0;n14;2.0;Directed
n0;n15;3.0;Directed
n0;n19;1.0;Directed
n0;n1;1.0;Directed
n0;n26;2.0;Directed
n0;n25;1.0;Directed
n0;n24;2.0;Directed
n18;n18;1.0;Directed
n12;n12;1.0;Directed
n31;n31;1.0;Directed
n33;n0;2.0;Directed
n33;n18;3.0;Directed
n33;n33;1.0;Directed
n33;n4;1.0;Directed
n33;n9;1.0;Directed
n33;n5;1.0;Directed
n33;n22;2.0;Directed
n33;n24;3.0;Directed
n11;n11;1.0;Directed
n4;n4;1.0;Directed
n9;n9;1.0;Directed
n21;n21;1.0;Directed
n23;n23;1.0;Directed
n23;n25;1.0;Directed
n29;n20;1.0;Directed
n29;n29;1.0;Directed
n27;n27;1.0;Directed
n14;n14;1.0;Directed
n15;n15;1.0;Directed
n19;n19;1.0;Directed
n16;n16;1.0;Directed
n5;n5;1.0;Directed
n6;n6;1.0;Directed
n17;n17;1.0;Directed
n1;n1;1.0;Directed
n8;n8;1.0;Directed
n7;n7;1.0;Directed
n2;n2;1.0;Directed
n22;n22;1.0;Directed
n28;n28;1.0;Directed
n30;n30;1.0;Directed
n32;n31;2.0;Directed
n32;n21;1.0;Directed
n32;n29;3.0;Directed
n32;n27;1.0;Directed
n32;n15;2.0;Directed
n32;n6;1.0;Directed
n32;n1;1.0;Directed
n32;n32;1.0;Directed
n32;n13;7.0;Directed
n32;n25;1.0;Directed
n26;n26;1.0;Directed
n13;n13;1.0;Directed
n10;n10;1.0;Directed
n25;n29;2.0;Directed
n25;n17;1.0;Directed
n25;n28;1.0;Directed
n25;n25;1.0;Directed
n25;n24;1.0;Directed
n24;n18;1.0;Directed
n24;n12;1.0;Directed
n24;n29;1.0;Directed
n24;n6;3.0;Directed
n24;n30;2.0;Directed
n24;n24;1.0;Directed
