Source;Target;Weight;Type
n26;n26;1.0;Directed
n26;n0;4.0;Directed
n26;n55;2.0;Directed
n26;n53;2.0;Directed
n31;n31;1.0;Directed
n33;n33;1.0;Directed
n33;n55;2.0;Directed
n20;n20;1.0;Directed
n20;n0;30.0;Directed
n20;n59;1.0;Directed
n20;n30;25.0;Directed
n20;n50;4.0;Directed
n20;n60;7.0;Directed
n20;n10;2.0;Directed
n20;n57;15.0;Directed
n20;n35;5.0;Directed
n20;n45;1.0;Directed
n20;n17;3.0;Directed
n20;n37;2.0;Directed
n20;n43;1.0;Directed
n20;n55;7.0;Directed
n20;n11;1.0;Directed
n20;n53;1.0;Directed
n18;n18;1.0;Directed
n18;n55;1.0;Directed
n0;n26;2.0;Directed
n0;n20;51.0;Directed
n0;n18;3.0;Directed
n0;n0;1.0;Directed
n0;n40;2.0;Directed
n0;n63;4.0;Directed
n0;n28;1.0;Directed
n0;n59;8.0;Directed
n0;n30;202.0;Directed
n0;n49;3.0;Directed
n0;n64;1.0;Directed
n0;n25;1.0;Directed
n0;n41;3.0;Directed
n0;n2;3.0;Directed
n0;n56;1.0;Directed
n0;n50;76.0;Directed
n0;n60;43.0;Directed
n0;n10;4.0;Directed
n0;n44;1.0;Directed
n0;n57;31.0;Directed
n0;n12;1.0;Directed
n0;n32;5.0;Directed
n0;n4;1.0;Directed
n0;n22;1.0;Directed
n0;n35;40.0;Directed
n0;n58;1.0;Directed
n0;n13;2.0;Directed
n0;n45;1.0;Directed
n0;n17;18.0;Directed
n0;n37;4.0;Directed
n0;n43;1.0;Directed
n0;n55;113.0;Directed
n0;n11;6.0;Directed
n0;n53;42.0;Directed
n0;n51;4.0;Directed
n21;n21;1.0;Directed
n14;n0;1.0;Directed
n14;n14;1.0;Directed
n14;n40;2.0;Directed
n9;n9;1.0;Directed
n9;n60;8.0;Directed
n27;n27;1.0;Directed
n40;n20;1.0;Directed
n40;n40;1.0;Directed
n40;n30;1.0;Directed
n40;n35;6.0;Directed
n40;n17;1.0;Directed
n40;n55;2.0;Directed
n63;n63;1.0;Directed
n28;n28;1.0;Directed
n28;n17;1.0;Directed
n61;n61;1.0;Directed
n61;n55;1.0;Directed
n59;n20;2.0;Directed
n59;n0;3.0;Directed
n59;n59;1.0;Directed
n59;n30;8.0;Directed
n59;n60;2.0;Directed
n59;n57;1.0;Directed
n59;n55;4.0;Directed
n30;n26;1.0;Directed
n30;n20;27.0;Directed
n30;n0;111.0;Directed
n30;n21;1.0;Directed
n30;n27;1.0;Directed
n30;n40;3.0;Directed
n30;n63;1.0;Directed
n30;n59;9.0;Directed
n30;n30;1.0;Directed
n30;n49;2.0;Directed
n30;n64;1.0;Directed
n30;n41;2.0;Directed
n30;n50;32.0;Directed
n30;n60;7.0;Directed
n30;n10;5.0;Directed
n30;n44;1.0;Directed
n30;n57;24.0;Directed
n30;n32;1.0;Directed
n30;n48;1.0;Directed
n30;n4;1.0;Directed
n30;n35;28.0;Directed
n30;n58;1.0;Directed
n30;n38;1.0;Directed
n30;n17;14.0;Directed
n30;n47;4.0;Directed
n30;n55;34.0;Directed
n30;n53;6.0;Directed
n49;n20;4.0;Directed
n49;n63;3.0;Directed
n49;n59;1.0;Directed
n49;n30;5.0;Directed
n49;n49;1.0;Directed
n49;n50;2.0;Directed
n49;n60;1.0;Directed
n49;n44;2.0;Directed
n49;n17;3.0;Directed
n64;n64;1.0;Directed
n25;n25;1.0;Directed
n41;n41;1.0;Directed
n2;n2;1.0;Directed
n16;n16;1.0;Directed
n16;n44;1.0;Directed
n46;n46;1.0;Directed
n56;n20;3.0;Directed
n56;n56;1.0;Directed
n56;n17;1.0;Directed
n56;n55;2.0;Directed
n24;n24;1.0;Directed
n24;n48;2.0;Directed
n24;n55;1.0;Directed
n50;n26;8.0;Directed
n50;n20;24.0;Directed
n50;n18;1.0;Directed
n50;n0;155.0;Directed
n50;n21;6.0;Directed
n50;n9;1.0;Directed
n50;n59;4.0;Directed
n50;n30;153.0;Directed
n50;n49;1.0;Directed
n50;n41;8.0;Directed
n50;n16;1.0;Directed
n50;n50;1.0;Directed
n50;n60;41.0;Directed
n50;n10;2.0;Directed
n50;n44;2.0;Directed
n50;n57;11.0;Directed
n50;n12;4.0;Directed
n50;n5;2.0;Directed
n50;n32;2.0;Directed
n50;n6;1.0;Directed
n50;n4;3.0;Directed
n50;n35;15.0;Directed
n50;n8;4.0;Directed
n50;n17;15.0;Directed
n50;n37;1.0;Directed
